State,Region,2013_Pop,2013_RX_rate,2013Deaths,2014_Pop,2014_RX_rate,2014Deaths,2015_Pop,2015_RX_rate,2015Deaths,2016_Pop,2016_RX_rate,2016Deaths,2017_Pop,2017_RX_rate,2017Deaths
AL,Southeast,4827660,142.4,12.39,4840037,135.2,14.94,4850858,125.0,15.17,4860545,121.0,15.55,4874747,107.2,17.13
AK,Far West,736760,63.7,14.25,736759,62.7,16.83,737979,60.8,16.53,741522,58.9,17.26,739795,52.0,19.87
AZ,Southwest,6616124,80.4,18.47,6706435,79.7,18.06,6802262,75.5,18.73,6908642,70.2,20.0,7016270,61.2,21.83
AR,Southeast,2956780,120.9,10.79,2964800,123.2,12.01,2975626,117.2,13.17,2988231,114.6,13.42,3004279,105.4,14.85
CA,Far West,38347383,54.4,11.61,38701278,52.7,11.68,39032444,47.7,11.94,39296476,44.8,11.84,39536653,39.5,12.31
CO,Rocky Mountain,5262556,71.2,16.08,5342311,69.6,16.83,5440445,65.1,15.97,5530105,59.8,17.03,5607154,52.9,18.1
CT,New England,3602470,67.4,16.16,3600188,66.0,17.3,3593862,62.3,22.26,3587685,55.9,27.06,3588184,48.0,29.88
DE,Mideast,925114,92.7,17.94,934805,91.0,20.22,944107,84.4,20.97,952698,79.2,29.6,961939,68.3,35.14
DC,Mideast,650114,41.1,15.69,660797,40.1,14.53,672736,35.7,18.58,684336,32.5,39.31,693972,28.5,44.67
FL,Southeast,19584927,73.5,12.63,19897747,71.4,13.24,20268567,67.1,15.93,20656589,66.6,22.89,20984400,60.9,24.25
GA,Southeast,9981773,86.6,11.0,10083850,83.8,11.96,10199533,79.4,12.77,10313620,77.8,13.52,10429379,70.9,14.74
HI,Far West,1408038,49.4,11.22,1417710,47.7,11.07,1426320,44.3,11.85,1428683,41.9,13.37,1427538,37.0,14.22
ID,Rocky Mountain,1610187,89.2,12.86,1630391,87.4,13.0,1649324,81.9,13.22,1680026,77.6,14.46,1716943,70.3,13.75
IL,Great Lakes,12890403,63.7,12.25,12882438,62.3,13.24,12862051,59.1,14.27,12835726,56.8,18.78,12802023,51.1,21.7
IN,Great Lakes,6567484,106.3,16.2,6593182,96.7,17.78,6610596,89.1,18.83,6634007,83.9,23.0,6666818,74.2,27.78
IA,Plains,3089876,72.2,8.9,3105563,72.3,8.5,3118473,68.6,9.91,3130869,64.0,10.03,3145711,56.4,10.84
KS,Plains,2892900,88.7,11.44,2899553,86.5,11.45,2905789,80.5,11.32,2907731,76.9,10.76,2913123,69.8,11.43
KY,Southeast,4399121,111.7,23.16,4410415,110.0,24.42,4422057,102.6,28.79,4436113,97.2,31.99,4454189,86.8,35.16
LA,Southeast,4626795,112.4,17.49,4648797,108.9,16.71,4671211,100.4,18.43,4686157,98.1,21.25,4684333,89.5,23.65
ME,New England,1327975,85.9,13.1,1328903,82.4,16.25,1327787,76.5,20.26,1330232,66.9,26.54,1335907,55.7,31.74
MD,Mideast,5932654,69.0,15.04,5970245,67.6,17.92,6000561,63.0,21.41,6024752,58.7,33.93,6052177,51.7,37.13
MA,New England,6711138,63.0,16.11,6757925,59.6,19.07,6794002,54.0,25.38,6823721,47.1,32.64,6859819,40.1,31.6
MI,Great Lakes,9899219,98.9,15.69,9914675,98.0,17.77,9918170,90.5,19.96,9933445,84.9,23.63,9962311,74.2,27.04
MN,Plains,5416074,58.3,9.66,5452649,56.6,9.48,5483238,52.1,10.6,5525050,46.9,12.16,5576606,41.0,13.14
MS,Southeast,2987721,119.6,10.58,2988578,116.3,11.24,2985297,110.9,11.76,2985415,105.6,11.79,2984100,92.9,11.86
MO,Plains,6041142,93.3,16.97,6058014,90.7,17.61,6072640,84.5,17.55,6091176,80.4,22.51,6113532,71.8,22.36
MT,Rocky Mountain,1011921,84.2,13.54,1019931,80.1,12.26,1028317,73.3,13.42,1038656,69.8,11.46,1050493,61.1,11.33
NE,Plains,1867414,71.3,6.27,1880920,70.1,6.65,1893564,65.5,6.65,1907603,62.8,6.29,1920076,56.6,7.92
NV,Far West,2786547,91.1,22.03,2831730,90.1,19.25,2883057,85.4,21.47,2939254,80.7,22.62,2998039,73.0,22.55
NH,New England,1322622,82.0,15.35,1328684,79.6,25.14,1330134,74.8,31.73,1335015,64.3,36.03,1342795,52.8,34.78
NJ,Mideast,8913735,58.3,14.52,8943010,57.2,14.01,8960001,56.0,16.23,8978416,52.6,22.9,9005644,44.2,29.81
NM,Southwest,2085161,71.4,21.96,2083207,71.5,26.26,2082264,69.8,24.06,2085432,65.1,23.98,2088070,56.4,23.61
NY,Mideast,19712514,46.7,11.71,19773580,43.9,11.63,19819347,45.1,13.9,19836286,42.7,18.34,19849399,37.8,19.75
NC,Southeast,9849812,96.7,12.78,9941160,93.7,13.66,10041769,88.4,15.6,10156689,82.5,19.26,10273419,72.0,23.5
ND,Plains,722908,60.1,2.77,738658,58.1,5.82,754859,53.0,8.08,755548,47.8,10.19,755393,41.5,9.0
OH,Great Lakes,11567845,93.1,20.29,11593741,89.5,23.67,11606027,82.7,28.52,11622554,75.3,37.25,11658609,63.5,43.84
OK,Southwest,3849840,123.3,20.52,3875008,110.9,20.05,3904353,104.4,18.57,3921207,97.9,20.73,3930864,88.1,19.72
OR,Far West,3919664,94.2,11.61,3960673,91.9,13.18,4016537,84.2,12.57,4085989,76.3,12.38,4142776,66.1,12.79
PA,Mideast,12778450,81.6,18.99,12790341,79.9,21.36,12791124,75.5,25.52,12787085,69.5,36.18,12805537,57.7,42.08
RI,New England,1052784,76.9,22.89,1054782,72.8,23.42,1055916,65.7,29.36,1057566,60.3,30.83,1059639,51.2,30.2
SC,Southeast,4765862,103.0,13.01,4824758,101.3,14.53,4892423,95.1,15.55,4959822,89.4,17.72,5024369,79.3,20.06
SD,Plains,842513,60.6,6.53,849455,61.7,7.42,854036,59.1,7.61,861542,54.8,8.01,869666,49.0,8.39
TN,Southeast,6490795,127.1,18.29,6540007,121.3,19.4,6590726,114.9,22.11,6649404,107.5,24.51,6715984,94.4,26.44
TX,Southwest,26479279,70.0,9.24,26954436,67.0,9.65,27454880,59.8,9.43,27904862,57.6,10.15,28304596,53.1,10.56
UT,Rocky Mountain,2899961,82.1,20.48,2938671,78.8,20.52,2984917,74.4,21.64,3044321,70.4,20.86,3101833,63.8,20.96
VT,New England,626044,52.2,14.86,625665,50.4,13.27,624455,60.1,15.85,623354,58.6,20.05,623657,50.5,21.49
VA,Southeast,8261689,76.6,10.34,8316902,73.5,11.78,8366767,68.1,12.42,8414380,63.4,16.7,8470020,52.9,17.79
WA,Far West,6963410,75.2,13.92,7046931,74.2,13.89,7152818,69.8,15.29,7280934,64.9,15.14,7405743,57.2,15.79
WV,Southeast,1852333,129.0,30.77,1847624,126.4,33.94,1839767,111.3,39.41,1828637,96.0,48.34,1815857,81.3,53.64
WI,Great Lakes,5736673,73.8,14.92,5751272,71.9,14.83,5759744,67.5,15.24,5772917,62.2,18.6,5795483,52.6,20.31
WY,Rocky Mountain,582341,81.5,16.83,583334,80.9,18.69,586102,75.4,16.38,584910,71.1,16.93,579315,64.8,11.91
