State,Region,2013_Pop,2013_RX_rate,2013Deaths,2014_Pop,2014_RX_rate,2014Deaths,2015_Pop,2015_RX_rate,2015Deaths,2016_Pop,2016_RX_rate,2016Deaths,2017_Pop,2017_RX_rate,2017Deaths
AL,Southeast,"4,827,660",142.4,598,"4,840,037",135.2,723,"4,850,858",125.0,736,"4,860,545",121.0,756,"4,874,747",107.2,835
AK,Far West,"736,760",63.7,105,"736,759",62.7,124,"737,979",60.8,122,"741,522",58.9,128,"739,795",52.0,147
AZ,Southwest,"6,616,124",80.4,"1,222","6,706,435",79.7,"1,211","6,802,262",75.5,"1,274","6,908,642",70.2,"1,382","7,016,270",61.2,"1,532"
AR,Southeast,"2,956,780",120.9,319,"2,964,800",123.2,356,"2,975,626",117.2,392,"2,988,231",114.6,401,"3,004,279",105.4,446
CA,Far West,"38,347,383",54.4,"4,452","38,701,278",52.7,"4,521","39,032,444",47.7,"4,659","39,296,476",44.8,"4,654","39,536,653",39.5,"4,868"
CO,Rocky Mountain,"5,262,556",71.2,846,"5,342,311",69.6,899,"5,440,445",65.1,869,"5,530,105",59.8,942,"5,607,154",52.9,"1,015"
CT,New England,"3,602,470",67.4,582,"3,600,188",66.0,623,"3,593,862",62.3,800,"3,587,685",55.9,971,"3,588,184",48.0,"1,072"
DE,Mideast,"925,114",92.7,166,"934,805",91.0,189,"944,107",84.4,198,"952,698",79.2,282,"961,939",68.3,338
DC,Mideast,"650,114",41.1,102,"660,797",40.1,96,"672,736",35.7,125,"684,336",32.5,269,"693,972",28.5,310
FL,Southeast,"19,584,927",73.5,"2,474","19,897,747",71.4,"2,634","20,268,567",67.1,"3,228","20,656,589",66.6,"4,728","20,984,400",60.9,"5,088"
GA,Southeast,"9,981,773",86.6,"1,098","10,083,850",83.8,"1,206","10,199,533",79.4,"1,302","10,313,620",77.8,"1,394","10,429,379",70.9,"1,537"
HI,Far West,"1,408,038",49.4,158,"1,417,710",47.7,157,"1,426,320",44.3,169,"1,428,683",41.9,191,"1,427,538",37.0,203
