Region,State,RX_2013,OD_2013,Pop_2013,RX_2014,OD_2014,Pop_2014,RX_2015,OD_2015,Pop_2015,RX_2016,OD_2016,Pop_2016,RX_2017,OD_2017,Pop_2017
Far West,AK,63.7,105,"737,045",62.7,124,"736,307",60.8,122,"737,547",58.9,128,"741,504",52,147,"739,786"
Southeast,AL,142.4,598,"4,830,460",135.2,723,"4,842,481",125,736,"4,853,160",121,756,"4,864,745",107.2,835,"4,875,120"
Southeast,AR,120.9,319,"2,959,549",123.2,356,"2,967,726",117.2,392,"2,978,407",114.6,401,"2,990,410",105.4,446,"3,002,997"
Southwest,AZ,80.4,"1,222","6,634,999",79.7,"1,211","6,733,840",75.5,"1,274","6,833,596",70.2,"1,382","6,945,452",61.2,"1,532","7,048,876"
Far West,CA,54.4,"4,452","38,280,824",52.7,"4,521","38,625,139",47.7,"4,659","38,953,142",44.8,"4,654","39,209,127",39.5,"4,868","39,399,349"
Rocky Mountain,CO,71.2,846,"5,270,482",69.6,899,"5,351,218",65.1,869,"5,452,107",59.8,942,"5,540,921",52.9,"1,015","5,615,902"
New England,CT,67.4,582,"3,594,915",66,623,"3,594,783",62.3,800,"3,587,509",55.9,971,"3,578,674",48,"1,072","3,573,880"
Mideast,DC,41.1,102,"650,431",40.1,96,"662,513",35.7,125,"675,254",32.5,269,"686,575",28.5,310,"695,691"
Mideast,DE,92.7,166,"923,638",91,189,"932,596",84.4,198,"941,413",79.2,282,"949,216",68.3,338,"957,078"
Southeast,FL,73.5,"2,474","19,563,166",71.4,"2,634","19,860,330",67.1,"3,228","20,224,249",66.6,"4,728","20,629,982",60.9,"5,088","20,976,812"
Southeast,GA,86.6,"1,098","9,973,326",83.8,"1,206","10,069,001",79.4,"1,302","10,181,111",77.8,"1,394","10,304,763",70.9,"1,537","10,413,055"
Far West,HI,49.4,158,"1,408,453",47.7,157,"1,414,862",44.3,169,"1,422,484",41.9,191,"1,428,105",37,203,"1,424,203"
Plains,IA,72.2,275,"3,093,078",72.3,264,"3,109,504",68.6,309,"3,121,460",64,314,"3,131,785",56.4,341,"3,143,637"
Rocky Mountain,ID,89.2,207,"1,611,530",87.4,212,"1,631,479",81.9,218,"1,651,523",77.6,243,"1,682,930",70.3,236,"1,718,904"
Great Lakes,IL,63.7,"1,579","12,898,269",62.3,"1,705","12,888,962",59.1,"1,835","12,864,342",56.8,"2,411","12,826,895",51.1,"2,778","12,786,196"
Great Lakes,IN,106.3,"1,064","6,568,367",96.7,"1,172","6,593,533",89.1,"1,245","6,608,296",83.9,"1,526","6,633,344",74.2,"1,852","6,660,082"
Plains,KS,88.7,331,"2,893,510",86.5,332,"2,900,896",80.5,329,"2,909,502",76.9,313,"2,911,263",69.8,333,"2,910,689"
Southeast,KY,111.7,"1,019","4,404,817",110,"1,077","4,414,483",102.6,"1,273","4,425,999",97.2,"1,419","4,438,229",86.8,"1,566","4,453,874"
Southeast,LA,112.4,809,"4,624,577",108.9,777,"4,644,204",100.4,861,"4,664,851",98.1,996,"4,678,215",89.5,"1,108","4,670,818"
New England,MA,63,"1,081","6,713,944",59.6,"1,289","6,763,652",54,"1,724","6,795,891",47.1,"2,227","6,826,022",40.1,"2,168","6,863,246"
