State,Region,2013_Pop,2013_RX_rate,2013Deaths,2014_Pop,2014_RX_rate,2014Deaths,2015_Pop,2015_RX_rate,2015Deaths,2016_Pop,2016_RX_rate,2016Deaths,2017_Pop,2017_RX_rate,2017Deaths
AL,Southeast,4827660,142.4,598,4840037,135.2,723,4850858,125.0,736,4860545,121.0,756,4874747,107.2,835
AK,Far West,736760,63.7,105,736759,62.7,124,737979,60.8,122,741522,58.9,128,739795,52.0,147
AZ,Southwest,6616124,80.4,1222,6706435,79.7,1211,6802262,75.5,1274,6908642,70.2,1382,7016270,61.2,1532
AR,Southeast,2956780,120.9,319,2964800,123.2,356,2975626,117.2,392,2988231,114.6,401,3004279,105.4,446
CA,Far West,38347383,54.4,4452,38701278,52.7,4521,39032444,47.7,4659,39296476,44.8,4654,39536653,39.5,4868
CO,Rocky Mountain,5262556,71.2,846,5342311,69.6,899,5440445,65.1,869,5530105,59.8,942,5607154,52.9,1015
CT,New England,3602470,67.4,582,3600188,66.0,623,3593862,62.3,800,3587685,55.9,971,3588184,48.0,1072
DE,Mideast,925114,92.7,166,934805,91.0,189,944107,84.4,198,952698,79.2,282,961939,68.3,338
DC,Mideast,650114,41.1,102,660797,40.1,96,672736,35.7,125,684336,32.5,269,693972,28.5,310
FL,Southeast,19584927,73.5,2474,19897747,71.4,2634,20268567,67.1,3228,20656589,66.6,4728,20984400,60.9,5088
GA,Southeast,9981773,86.6,1098,10083850,83.8,1206,10199533,79.4,1302,10313620,77.8,1394,10429379,70.9,1537
HI,Far West,1408038,49.4,158,1417710,47.7,157,1426320,44.3,169,1428683,41.9,191,1427538,37.0,203
ID,Rocky Mountain,1610187,89.2,207,1630391,87.4,212,1649324,81.9,218,1680026,77.6,243,1716943,70.3,236
IL,Great Lakes,12890403,63.7,1579,12882438,62.3,1705,12862051,59.1,1835,12835726,56.8,2411,12802023,51.1,2778
IN,Great Lakes,6567484,106.3,1064,6593182,96.7,1172,6610596,89.1,1245,6634007,83.9,1526,6666818,74.2,1852
